Date,Open,High,Low,Close,AdjClose,Volume,ShortTermMA,LongTermMA,ROC,RSI,price_diff
2018-02-05,262,267.899994,250.029999,254.259995,254.259995,11896100,261.513331333333,262.511998,4.50719980545898,63.2685394135918,11.460006
2018-02-06,247.699997,266.700012,245,265.720001,265.720001,12595800,258.66,263.969997090909,-0.436550878983332,72.2269669007315,-1.16000300000002
2018-02-07,266.579987,272.450012,264.329987,264.559998,264.559998,8981500,256.8220002,265.392498083333,-5.46567588044811,70.1294361230769,-14.459992
2018-02-08,267.079987,267.619995,250,250.100006,250.100006,9306700,257.5600036,266.373076307692,-0.251901233460991,70.1442990713235,-0.630005000000011
2018-02-09,253.850006,255.800003,236.110001,249.470001,249.470001,16906900,256.0700012,267.769998928571,3.39921071311497,71.3284549442757,8.48001100000002
2018-02-12,252.139999,259.149994,249,257.950012,257.950012,8534900,256.3580016,269.5293326,0.124046127200798,68.179062950175,0.319976999999994
2018-02-13,257.290009,261.410004,254.699997,258.269989,258.269989,6855200,262.3919982,270.846873375,2.9929962168388,71.5530175819007,7.73001099999999
2018-02-14,260.470001,269.880005,260.329987,266,266,10972000,268.2019958,272.054704647059,5.364657518797,74.4186110557629,14.269989
2018-02-15,270.029999,280.5,267.630005,280.269989,280.269989,10759700,272.321991,273.073333,-0.624397926529337,66.865415792734,-1.75
2018-02-16,278.730011,281.959991,275.690002,278.519989,278.519989,8312400,276.875995,274.545788526316,0.0107708606867621,68.2697528163034,0.0299989999999752
2018-02-20,277.73999,285.809998,276.609985,278.549988,278.549988,7769000,279.303998,276.5684991,0.893922494083903,83.614210072497,2.49002100000001
2018-02-21,282.070007,286.640015,280.01001,281.040009,281.040009,9371100,280.4359988,280.1164994,-1.03187941472063,86.8639166387567,-2.89999399999999
2018-02-22,283.880005,284.5,274.450012,278.140015,278.140015,8891500,283.5640018,282.88849955,2.80073976410766,87.8165136802212,7.78997800000002
2018-02-23,281,286,277.809998,285.929993,285.929993,7301800,285.9760012,285.51049965,2.87833078077961,89.2300468048653,8.23001099999999
2018-02-26,288.75,295.649994,287.01001,294.160004,294.160004,10268600,288.0440004,289.57749945,-1.20683265968409,83.7741864426066,-3.55001900000002
2018-02-27,294.769989,297.359985,290.589996,290.609985,290.609985,9416500,290.4940004,293.1689988,0.264966807661474,75.6673663496861,0.770019999999988
2018-02-28,293.100006,295.75,290.779999,291.380005,291.380005,7653500,293.5179994,296.06549845,-0.339759071663129,81.4102562961137,-0.989989999999977
2018-03-01,292.75,295.25,283.829987,290.390015,290.390015,11932100,297.6859986,299.2294984,3.6709158198845,72.6549993049287,10.659973
2018-03-02,284.649994,301.179993,283.230011,301.049988,301.049988,13345300,304.6080018,301.9839982,4.63378593458041,67.9070706806552,13.950012
2018-03-05,302.850006,316.910004,297.600006,315,315,18986100,310.5640016,303.89299935,3.24444476190477,71.6941422491139,10.220001
2018-03-06,319.880005,325.790009,316.5,325.220001,325.220001,18525800,315.8859986,305.64100045,-1.24838478184495,68.960312025881,-4.05999700000001
2018-03-07,320,323.73999,314.549988,321.160004,321.160004,17132200,321.9640014,307.58850105,-1.29530575046325,63.9389505613763,-4.16000400000001
2018-03-08,322.200012,322.920013,314.130005,317,317,11340100,323.223999,309.36050115,4.55520567823344,62.9136292286808,14.440002
2018-03-09,321.329987,331.440002,320.230011,331.440002,331.440002,14500200,321.3559998,310.788501,-3.05938146838414,64.2265884204154,-10.140014
2018-03-12,333.559998,333.980011,318.600006,321.299988,321.299988,20369200,321.4339966,311.53900145,-1.68689175301183,64.2056068782111,-5.419983
2018-03-13,323.869995,325.839996,313.279999,315.880005,315.880005,12917200,322.2519958,312.84850155,1.79498002730499,53.1061171556444,5.669983
2018-03-14,318.160004,323.880005,317.700012,321.549988,321.549988,10475100,319.6539978,313.3525024,-0.14305458471981,41.5055541117546,-0.459992
2018-03-15,323.170013,323.399994,318.140015,321.089996,321.089996,5642900,318.0900024,313.0720016,-0.822194410566429,47.3518229498567,-2.63998399999997
2018-03-16,321.420013,324.109985,318.369995,318.450012,318.450012,7333700,318.4140014,313.32000115,-1.56068482107642,40.4834914022003,-4.97000100000002
2018-03-19,315.799988,317,307.339996,313.480011,313.480011,9925200,317.400006,312.2820022,1.28237490715158,36.8016145250045,4.01998900000001
2018-03-20,313.26001,319.5,312.799988,317.5,317.5,5991900,314.5220092,310.71550285,-0.321256377952759,34.0943139153605,-1.01998900000001
2018-03-21,316.350006,319.399994,314.51001,316.480011,316.480011,5263900,311.0200072,308.9015029,-3.09024224597868,32.6772023629474,-9.77999899999998
2018-03-22,313.070007,314.119995,305.660004,306.700012,306.700012,8063300,312.3940062,307.54200275,-1.87805991999766,36.1557655478442,-5.76001000000002
2018-03-23,307.410004,309.369995,300.359985,300.940002,300.940002,9529900,309.0320066,306.13450305,6.44979194224901,35.9354833734483,19.410004
2018-03-26,309.359985,321.029999,302,320.350006,320.350006,11988300,302.8900022,304.0590026,-6.13703874879903,38.746889948107,-19.660004
2018-03-27,322.48999,322.899994,297,300.690002,300.690002,12068600,300.620001,302.89750355,-4.96192520561425,37.9655213883948,-14.920013
2018-03-28,298.390015,298.799988,281.609985,285.769989,285.769989,18972900,296.4900024,302.28700395,3.35235237035335,40.1125120534894,9.580017
2018-03-29,287,295.350006,275.899994,295.350006,295.350006,19145500,289.1540038,301.67200455,-5.09903392383883,42.1150922456218,-15.059997
2018-04-02,291.940002,292.869995,275.049988,280.290009,280.290009,13405800,286.8040038,301.20000445,1.20589528398067,44.9878729983631,3.38000399999999
2018-04-03,285.450012,291.25,278.01001,283.670013,283.670013,12694900,288.4440062,300.6665038,1.85778854249216,51.0316317920347,5.26998900000001
2018-04-04,273.630005,290.309998,271.220001,288.940002,288.940002,12914000,287.1440062,301.79550315,1.74084549220708,54.4539595397189,5.02999900000003
